Datetime,monthly_kwh,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,month,year,month_name
2006-12-01,697.1034333333333,2890.264,241.20534236900252,8.259881628787879,27536.0,48750.0,162987.0,12,2006,Dec
2007-01-01,1150.2871666666667,5922.9619999999995,240.9048313172043,6.547132616487455,56433.0,79274.0,329611.0,1,2007,Jan
2007-02-01,941.5829666666667,4581.728,240.51917708333332,5.914910714285715,47584.0,64604.0,270308.0,2,2007,Feb
2007-03-01,981.0429,5122.312,240.5135241935484,5.572889784946236,60769.0,104762.0,290361.0,3,2007,Mar
2007-04-01,616.8863666666666,5463.378,239.12769328703703,3.6855740740740743,42078.0,38417.0,189503.0,4,2007,Apr
2007-05-01,733.4812000000001,5148.894,235.17836379928315,4.297464157706093,75737.0,72132.0,229448.0,5,2007,May
2007-06-01,595.3584666666667,6322.556,238.87748032407407,3.603717592592593,59673.0,69944.0,188902.0,6,2007,Jun
2007-07-01,497.0912,5736.16,237.67865636200716,2.949121863799283,43052.0,55733.0,154825.0,7,2007,Jul
2007-08-01,568.3484666666667,5036.368,237.93663239247311,3.311536738351254,36251.0,49713.0,225442.0,8,2007,Aug
2007-09-01,697.9979,5444.016,239.42394814814816,4.175129629629629,52841.0,75279.0,226409.0,9,2007,Sep
2007-10-01,821.3354333333333,4171.986,239.72590748207884,4.677316308243728,43218.0,87914.0,256080.0,10,2007,Oct
2007-11-01,932.0373666666667,4171.036,240.86930810185186,5.446037037037038,50825.0,73666.0,299708.0,11,2007,Nov
2007-12-01,1210.0921,4950.58,241.7257822580645,6.819529569892473,74090.0,82931.0,362423.0,12,2007,Dec
2008-01-01,1086.2306,3908.746,240.64617495519713,6.182007168458781,61761.0,62912.0,312192.0,1,2008,Jan
2008-02-01,822.2996666666667,3640.146,240.60272796934865,4.974592911877395,40231.0,56646.0,255970.0,2,2008,Feb
